title,link,Description
Academic Search Complete,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-a9h,"Covers a broad range of important areas of academic study, including anthropology, engineering, law, sciences and more."
Adult Core Skills from LearningExpress Library,http://kdl.idm.oclc.org/login?url=http://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=lexacs,Practice for the U.S. Citizenship exam in English or Spanish. Build your math and reading skills. Includes eBook study help as well as an eBook guide to getting a green card. Create a free account to access tools to help you do well on these tests.
Agricola,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-agr,"Agricola, (AGRICultural OnLine Access) is a bibliographic database produced by the National Agricultural Library. It consists of worldwide literature citations for journal articles, monographs, proceedings, theses, patents, translations, audiovisual materials, computer software, and technical reports pertaining to all aspects of agriculture and related fields."
Alt HealthWatch,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-awh,"A full-text alternative health research database focused on complementary, holistic and integrated approaches to health care and wellness. It offers the latest information about the evolving practice of holistic medicine and therapies."
Ancestry Library Edition (in-branch only),https://ancestrylibrary.proquest.com,This resource is only available from within a library building.
Applied Science & Technology Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-aci,"Offers a diverse array of full-text and indexed content covering the full spectrum of the applied sciences and computing disciplines — from acoustics to aeronautics, neural networks to nuclear engineering."
Art & Architecture Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-asu,"Covers fine, decorative and commercial art, as well as architecture and architectural design. With strong international coverage, it offers hundreds of full-text art journals, magazines and books, plus detailed indexing and abstracts and thousands of images."
ASLdeafined,https://www.asldeafined.com/login/library/?org=kent,"American Sign Language (ASL) video lessons. The content is for anyone who wishes to learn ASL, regardless of age. It has been designed to instruct Deaf students, parents of Deaf children, and the community-at-large."
Associates Programs Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-oih,"Full-text coverage for the subject areas most relevant to two-year college programs, including biotechnology, graphic arts, criminal justice and veterinary assisting."
AtoZdatabases,http://kdl.idm.oclc.org/login?url=http://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=atoz,"AtoZdatabases is the premier job search, reference and mailing list database. It includes 30 million business and executive profiles and 240 million residents. Ideal for sales leads, mailing lists, market research, employment opportunities, finding friends and relatives and much more. Examples of what you can use AtoZ for include:"
Author Talks,https://libraryc.org/kdl,Live and recorded discussions with bestselling authors and thought leaders.
Auto Repair Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=autorespo,"Car troubles? Auto Repair Source provides the most accurate, authoritative and up-to-date service and repair information for thousands of domestic and imported vehicles. All content comes from the Original Equipment Manufacturers (OEM) and includes step-by-step repair information, diagrams, maintenance schedules, parts and labor estimates, service bulletins and recalls."
Biblioteca TumbleBook,http://kdl.idm.oclc.org/login?url=http://www.bibliotecatumble.com/auto_login.aspx?U=kentdl&P=libra&lang=es,"¡Una colección de libros parlantes y animadas, además de juegos, herramientas educativas y más!"
Biography Reference Center,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-brc,"Containing many of the top-ranked biographical reference collections and magazines, this database offers a comprehensive collection of full-text biographies and unique narrative biographies."
Britannica Fundamentals,http://kdl.idm.oclc.org/login?url=http://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=eblz,"Activity-centered learning to explore, play, read, and build technology skills geared toward grades PreK-2. Letters, numbers, geography, shapes and much more are included."
Britannica School,http://kdl.idm.oclc.org/login?url=http://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=eb,"Nonfiction content geared for K-12 students. Includes over 132,000 encyclopedia articles, 103,000 images, 7,500 multimedia elements, more than 27,000 eBooks and novels and essays. Tools include translation for 50+ languages and read-aloud functionality."
Business Book Summaries,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-bbs,"Provides concise yet comprehensive summaries of the best business books. With these summaries, professionals and students can keep up with the latest information in the business world and learn more effectively."
"Cadence newspaper, East Grand Rapids (1975-2008)",https://digmichnews.cmich.edu/,The East Grand RapidsCADENCEweekly newspaper is available in theDigital Michigan Newspapersdatabase.
Consumer Health Complete,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-chc,"Content covering all key areas of health and wellness, from mainstream medicine to the many perspectives of complementary and holistic medicine."
Consumer Reports,"http://kdl.idm.oclc.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s9117311&site=crcro&groupid=main","Get full access to all of the valuable content on ConsumerReports.org, including ratings and recommendations on thousands of products and services in categories such as appliances, cars, electronics and computers, home and garden, health and fitness, babies and kids, food, personal finance, and travel."
CultureGrams,http://kdl.idm.oclc.org/login?url=http://online.culturegrams.com,"Get a one-of-a-kind perspective on daily life and culture, including the background, customs, and lifestyles of the world's people. Individual reports cover 200+ countries, all 50 United States, and the Canadian Provinces."
CultureGrams: Kids Edition,http://kdl.idm.oclc.org/login?url=http://online.culturegrams.com/kids/index.php,"A collection of country reports that teaches upper elementary-aged children more about the world around them. Each report is an indispensable resource of up-to-date, engaging cultural information, complete with images, historical timeline, fun facts, and sections on history, population, ""life as a kid,"" and more."
Driving-Tests,https://kdl.driving-tests.org,"Start preparing for your driver's knowledge exam online! Driving-Tests is designed to help aspiring as well as more experienced drivers (teenagers, newcomers, renewal applicants or senior citizens). Tests can be accessed from any computer or mobile device. Includes official state driver's manuals, online practice tests for car, motorcycle and commercial driver's license (CDL), an exam simulator, and a DMV-related FAQ."
eBook Academic Collection,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-e000xna,Academic content from 130 university presses and more than 475 academic publishers.
eBook Business Collection,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-e020mna,"Encompasses a variety of business topics such as marketing, finance, supply chain management and entrepreneurship and also focusing on career growth, personal development, communication and networking."
eBook High School Collection,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-e862xna,"The collection aligns with Common Core guidelines for grades 9-12 in English language arts and literacy, history/social studies, science and technical subjects."
eBook K-8 Collection,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-e860xna,"This collection aligns with Common Core guidelines for grades K-8 in English language arts and literacy, history/social studies, science and technical subjects."
eBook Public Library Collection,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-e700xna,"Includes general reference ebook titles in a variety of subjects and topics including social sciences, language and literature and science and technology. A substantial selection in the areas of self-help, health and fitness, games, crafts and hobbies, medical, cooking and religion. Also features recreation and leisure, geography, commerce, finance, the family, marriage, women, folklore, social and public welfare and home economics."
Education Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-eue,"Scholarly research and information to meet the needs of education students, professionals, and policy makers. It covers all levels of education — from early childhood to higher education — as well as all educational specialties such as multilingual education, health education and testing."
Enciclopedia Estudiantil Hallazgos (World Book Online),http://kdl.idm.oclc.org/login?url=https://www.worldbookonline.com/eeh/home?subacct=18279,"¡El World Book Enciclopedia — en línea! Un universo de la información, A a Z."
Entrepreneurial Studies Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-ent,"An essential database for business students and researchers, providing the latest insights on entrepreneurship and small businesses topics. It offers full-text business journals, magazines, reference books, case studies and company profiles."
Environment Complete,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-eih,"Extensive coverage in the areas of agriculture, ecosystem ecology, energy and affiliated areas of study."
ERIC (Education Resources Information Center),http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-eric,"Sponsored by the Institute of Education Sciences of the U.S. Department of Education, this is an authoritative database of indexed and full-text education literature and resources."
Explora for Elementary Schools,"http://kdl.idm.oclc.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s9117311&groupid=main&profile=ehk5","For elementary school libraries. Content from children’s magazines, easy-to-read encyclopedia entries, and images. Students can learn about animals, musicians, fitness, space exploration, and much more."
Explora for High School,"http://kdl.idm.oclc.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s9117311&groupid=main&profile=src_ic","Provides hundreds of popular magazines and reference books for high school libraries. Covers subjects such as art, history, sports, and music. Includes thousands of biographies and primary source documents. Also includes photos, maps, and flags."
Explora for Middle School,"http://kdl.idm.oclc.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s9117311&groupid=main&profile=explorams","Magazines and reference books for middle school students. Includes thousands of biographies and primary source documents. Subjects include history, current events, science, sports, and biographies. Also includes photos, maps, and flags."
Freegal Music+,https://kdl.freegalmusic.com,"FreegalMusic+ is a free music service which offers download or streaming access to more than?18 million songs including Sony Music’s catalog of legendary artists.?In total, the collection is comprised of 200 genres of music from over 100 countries."
Gale Business: DemographicsNow,http://kdl.idm.oclc.org/login?url=https://link.gale.com/apps/DNOW?u=lom_kentdl&id=access,Robust and highly-detailed demographic data that's ideal for gaining consumer and market insight as you consider opening a business; finding an untapped audience for your products; analyzing the shifts and needs of a given population and more. Quickly produce a variety of compiled reports to help you make informed and accurate decisions.
Gale eBooks,http://kdl.idm.oclc.org/login?url=https://infotrac.gale.com/itweb/lom_kentdl?db=GVRL,"Gale eBooks is a database of encyclopedias, almanacs, and specialized reference sources for multidisciplinary research. These reference materials once were accessible only in the library, but now you can access them online from the library or remotely 24/7."
Gale in Context: Biography,http://kdl.idm.oclc.org/login?url=https://link.gale.com/apps/BIC?u=lom_kentdl,"A single stop for biographies on notable figures in literature, science, history, government, business, art, gender and multicultural studies, religion, entertainment, popular culture, sports and much more. Includes full-text magazine and newspaper articles and photos."
Gale in Context: Opposing Viewpoints,http://kdl.idm.oclc.org/login?url=https://go.gale.com/ps/start.do?p=OVIC&u=lom_kentdl,"A one-stop source for information on hundreds of today's hottest social issues, featuring continuously updated viewpoint articles, topic overviews, full-text magazines, academic journals, news articles, primary source documents, statistics, images, videos, audio files and links to vetted websites organized into an engaging and user-friendly online experience."
Gale Legal Forms - Michigan,http://kdl.idm.oclc.org/login?url=https://link.gale.com/apps/TGLF?u=lom_kentdl,"Federal, state, business, personal, real estate and general forms covering hundreds of legal subjects and issues. Topics include: divorce, wills and estates, bankruptcy, power of attorney, name changes, incorporations and more.Please consult an attorney in your state for serious legal matters."
Grand Rapids Press,http://kdl.idm.oclc.org/login?url=https://infoweb.newsbank.com,"Daily newspaper serving all of West Michigan. Updated daily, it includes local news, obituaries, editorials, announcements, sports, real estate and more. Browse or search full text from 2000 to current."
